game_id,condition,state,mean_reasoning_chars,n_orders
random_oracle_opus_20260403_125737_c9b7,yarrow,qin,125.1,98
random_oracle_opus_20260403_125737_c9b7,yarrow,han,336.5,6
random_oracle_opus_20260403_125737_c9b7,yarrow,wei,186.4,47
random_oracle_opus_20260403_125737_c9b7,yarrow,zhao,143.8,83
random_oracle_opus_20260403_125737_c9b7,yarrow,qi,158.9,64
random_oracle_opus_20260403_125737_c9b7,yarrow,chu,99.5,116
random_oracle_opus_20260403_125737_c9b7,yarrow,yan,111.8,101
random_oracle_opus_20260404_101008_0154,yarrow,qin,126.3,85
random_oracle_opus_20260404_101008_0154,yarrow,han,502.9,16
random_oracle_opus_20260404_101008_0154,yarrow,wei,135.6,101
random_oracle_opus_20260404_101008_0154,yarrow,zhao,163.1,80
random_oracle_opus_20260404_101008_0154,yarrow,qi,233.2,21
random_oracle_opus_20260404_101008_0154,yarrow,chu,122.2,97
random_oracle_opus_20260404_101008_0154,yarrow,yan,112.6,114
random_oracle_opus_20260404_101008_ea16,yarrow,qin,121.6,89
random_oracle_opus_20260404_101008_ea16,yarrow,han,285.9,42
random_oracle_opus_20260404_101008_ea16,yarrow,wei,142.6,82
random_oracle_opus_20260404_101008_ea16,yarrow,zhao,196.1,22
random_oracle_opus_20260404_101008_ea16,yarrow,qi,170.8,40
random_oracle_opus_20260404_101008_ea16,yarrow,chu,106.3,114
random_oracle_opus_20260404_101008_ea16,yarrow,yan,89.8,131
random_oracle_opus_20260427_182540_65a1,yarrow,qin,282.0,51
random_oracle_opus_20260427_182540_65a1,yarrow,han,850.9,25
random_oracle_opus_20260427_182540_65a1,yarrow,wei,222.5,73
random_oracle_opus_20260427_182540_65a1,yarrow,zhao,265.2,49
random_oracle_opus_20260427_182540_65a1,yarrow,qi,186.0,88
random_oracle_opus_20260427_182540_65a1,yarrow,chu,145.4,138
random_oracle_opus_20260427_182540_65a1,yarrow,yan,180.2,83
random_oracle_opus_20260503_174137_3c96,yarrow,qin,206.5,25
random_oracle_opus_20260503_174137_3c96,yarrow,han,371.4,11
random_oracle_opus_20260503_174137_3c96,yarrow,wei,207.9,52
random_oracle_opus_20260503_174137_3c96,yarrow,zhao,151.0,42
random_oracle_opus_20260503_174137_3c96,yarrow,qi,107.0,119
random_oracle_opus_20260503_174137_3c96,yarrow,chu,109.0,134
random_oracle_opus_20260503_174137_3c96,yarrow,yan,115.3,130
random_oracle_opus_20260504_113552_3506,yarrow,qin,316.4,35
random_oracle_opus_20260504_113552_3506,yarrow,han,524.8,32
random_oracle_opus_20260504_113552_3506,yarrow,wei,209.5,71
random_oracle_opus_20260504_113552_3506,yarrow,zhao,161.9,103
random_oracle_opus_20260504_113552_3506,yarrow,qi,205.0,67
random_oracle_opus_20260504_113552_3506,yarrow,chu,145.2,129
random_oracle_opus_20260504_113552_3506,yarrow,yan,205.5,70
random_oracle_opus_20260504_202055_1bd9,yarrow,qin,228.1,69
random_oracle_opus_20260504_202055_1bd9,yarrow,han,734.2,28
random_oracle_opus_20260504_202055_1bd9,yarrow,wei,292.3,51
random_oracle_opus_20260504_202055_1bd9,yarrow,zhao,234.4,99
random_oracle_opus_20260504_202055_1bd9,yarrow,qi,207.6,80
random_oracle_opus_20260504_202055_1bd9,yarrow,chu,144.6,136
random_oracle_opus_20260504_202055_1bd9,yarrow,yan,362.5,40
tarot_opus_20260410_143545_2eba,tarot,qin,151.4,67
tarot_opus_20260410_143545_2eba,tarot,han,475.8,24
tarot_opus_20260410_143545_2eba,tarot,wei,241.6,33
tarot_opus_20260410_143545_2eba,tarot,zhao,185.6,41
tarot_opus_20260410_143545_2eba,tarot,qi,112.2,91
tarot_opus_20260410_143545_2eba,tarot,chu,210.8,30
tarot_opus_20260410_143545_2eba,tarot,yan,162.6,42
tarot_opus_20260410_195001_0fa6,tarot,qin,122.5,117
tarot_opus_20260410_195001_0fa6,tarot,han,617.2,19
tarot_opus_20260410_195001_0fa6,tarot,wei,190.4,62
tarot_opus_20260410_195001_0fa6,tarot,zhao,175.1,53
tarot_opus_20260410_195001_0fa6,tarot,qi,158.8,85
tarot_opus_20260410_195001_0fa6,tarot,chu,181.6,70
tarot_opus_20260410_195001_0fa6,tarot,yan,127.7,115
tarot_opus_20260411_113544_eacb,tarot,qin,123.5,62
tarot_opus_20260411_113544_eacb,tarot,han,535.1,12
tarot_opus_20260411_113544_eacb,tarot,wei,248.9,21
tarot_opus_20260411_113544_eacb,tarot,zhao,159.5,44
tarot_opus_20260411_113544_eacb,tarot,qi,143.7,52
tarot_opus_20260411_113544_eacb,tarot,chu,164.3,45
tarot_opus_20260411_113544_eacb,tarot,yan,166.1,48
tarot_opus_20260411_174138_b51a,tarot,qin,121.0,125
tarot_opus_20260411_174138_b51a,tarot,han,718.8,22
tarot_opus_20260411_174138_b51a,tarot,wei,219.2,24
tarot_opus_20260411_174138_b51a,tarot,zhao,203.9,46
tarot_opus_20260411_174138_b51a,tarot,qi,105.8,153
tarot_opus_20260411_174138_b51a,tarot,chu,201.3,54
tarot_opus_20260411_174138_b51a,tarot,yan,151.2,89
tarot_opus_20260416_070448_ceea,tarot,qin,76.8,110
tarot_opus_20260416_070448_ceea,tarot,han,178.8,43
tarot_opus_20260416_070448_ceea,tarot,wei,147.4,37
tarot_opus_20260416_070448_ceea,tarot,zhao,115.0,57
tarot_opus_20260416_070448_ceea,tarot,qi,64.4,119
tarot_opus_20260416_070448_ceea,tarot,chu,92.6,81
tarot_opus_20260416_070448_ceea,tarot,yan,94.6,70
tarot_opus_20260416_084349_35a7,tarot,qin,78.7,139
tarot_opus_20260416_084349_35a7,tarot,han,185.6,42
tarot_opus_20260416_084349_35a7,tarot,wei,115.5,64
tarot_opus_20260416_084349_35a7,tarot,zhao,106.3,77
tarot_opus_20260416_084349_35a7,tarot,qi,88.8,98
tarot_opus_20260416_084349_35a7,tarot,chu,114.5,61
tarot_opus_20260416_084349_35a7,tarot,yan,133.1,45
tarot_opus_20260417_064826_fbb9,tarot,qin,188.7,84
tarot_opus_20260417_064826_fbb9,tarot,han,327.0,15
tarot_opus_20260417_064826_fbb9,tarot,wei,221.7,53
tarot_opus_20260417_064826_fbb9,tarot,zhao,232.5,54
tarot_opus_20260417_064826_fbb9,tarot,qi,151.6,91
tarot_opus_20260417_064826_fbb9,tarot,chu,127.1,126
tarot_opus_20260417_064826_fbb9,tarot,yan,151.9,107
tarot_opus_20260417_064827_e0ff,tarot,qin,254.2,40
tarot_opus_20260417_064827_e0ff,tarot,han,486.6,40
tarot_opus_20260417_064827_e0ff,tarot,wei,219.1,78
tarot_opus_20260417_064827_e0ff,tarot,zhao,220.7,40
tarot_opus_20260417_064827_e0ff,tarot,qi,193.2,68
tarot_opus_20260417_064827_e0ff,tarot,chu,146.3,124
tarot_opus_20260417_064827_e0ff,tarot,yan,140.7,135
tarot_opus_20260417_064828_54d8,tarot,qin,216.5,66
tarot_opus_20260417_064828_54d8,tarot,han,540.9,34
tarot_opus_20260417_064828_54d8,tarot,wei,222.6,74
tarot_opus_20260417_064828_54d8,tarot,zhao,165.4,97
tarot_opus_20260417_064828_54d8,tarot,qi,158.5,96
tarot_opus_20260417_064828_54d8,tarot,chu,170.0,95
tarot_opus_20260417_064828_54d8,tarot,yan,243.0,41
tarot_opus_20260417_064828_ffa6,tarot,qin,224.0,72
tarot_opus_20260417_064828_ffa6,tarot,han,493.3,48
tarot_opus_20260417_064828_ffa6,tarot,wei,244.0,60
tarot_opus_20260417_064828_ffa6,tarot,zhao,278.8,22
tarot_opus_20260417_064828_ffa6,tarot,qi,222.1,55
tarot_opus_20260417_064828_ffa6,tarot,chu,163.6,119
tarot_opus_20260417_064828_ffa6,tarot,yan,132.4,129
scrambled_text_opus_20260423_234641_7c92,scrambled,qin,148.9,123
scrambled_text_opus_20260423_234641_7c92,scrambled,han,397.5,40
scrambled_text_opus_20260423_234641_7c92,scrambled,wei,214.6,62
scrambled_text_opus_20260423_234641_7c92,scrambled,zhao,283.6,29
scrambled_text_opus_20260423_234641_7c92,scrambled,qi,128.2,151
scrambled_text_opus_20260423_234641_7c92,scrambled,chu,240.3,52
scrambled_text_opus_20260423_234641_7c92,scrambled,yan,204.8,71
scrambled_text_opus_20260424_115648_1bfd,scrambled,qin,121.9,88
scrambled_text_opus_20260424_115648_1bfd,scrambled,han,400.5,28
scrambled_text_opus_20260424_115648_1bfd,scrambled,wei,160.4,67
scrambled_text_opus_20260424_115648_1bfd,scrambled,zhao,194.8,55
scrambled_text_opus_20260424_115648_1bfd,scrambled,qi,103.4,109
scrambled_text_opus_20260424_115648_1bfd,scrambled,chu,129.3,97
scrambled_text_opus_20260424_115648_1bfd,scrambled,yan,127.7,81
scrambled_text_opus_20260424_232606_d1ae,scrambled,qin,245.5,68
scrambled_text_opus_20260424_232606_d1ae,scrambled,han,919.1,22
scrambled_text_opus_20260424_232606_d1ae,scrambled,wei,236.6,72
scrambled_text_opus_20260424_232606_d1ae,scrambled,zhao,318.0,32
scrambled_text_opus_20260424_232606_d1ae,scrambled,qi,149.7,126
scrambled_text_opus_20260424_232606_d1ae,scrambled,chu,200.7,107
scrambled_text_opus_20260424_232606_d1ae,scrambled,yan,214.9,93
scrambled_text_opus_20260425_095615_296c,scrambled,qin,131.5,107
scrambled_text_opus_20260425_095615_296c,scrambled,han,320.8,12
scrambled_text_opus_20260425_095615_296c,scrambled,wei,140.7,78
scrambled_text_opus_20260425_095615_296c,scrambled,zhao,208.8,48
scrambled_text_opus_20260425_095615_296c,scrambled,qi,132.9,98
scrambled_text_opus_20260425_095615_296c,scrambled,chu,184.1,77
scrambled_text_opus_20260425_095615_296c,scrambled,yan,163.2,84
scrambled_text_opus_20260425_234105_6338,scrambled,qin,242.6,66
scrambled_text_opus_20260425_234105_6338,scrambled,han,727.5,16
scrambled_text_opus_20260425_234105_6338,scrambled,wei,309.8,44
scrambled_text_opus_20260425_234105_6338,scrambled,zhao,220.1,85
scrambled_text_opus_20260425_234105_6338,scrambled,qi,188.5,91
scrambled_text_opus_20260425_234105_6338,scrambled,chu,205.8,74
scrambled_text_opus_20260425_234105_6338,scrambled,yan,206.6,95
scrambled_text_opus_20260426_071651_9c0b,scrambled,qin,164.6,107
scrambled_text_opus_20260426_071651_9c0b,scrambled,han,960.0,23
scrambled_text_opus_20260426_071651_9c0b,scrambled,wei,213.6,79
scrambled_text_opus_20260426_071651_9c0b,scrambled,zhao,263.9,68
scrambled_text_opus_20260426_071651_9c0b,scrambled,qi,199.3,65
scrambled_text_opus_20260426_071651_9c0b,scrambled,chu,225.3,79
scrambled_text_opus_20260426_071651_9c0b,scrambled,yan,235.7,73
scrambled_text_opus_20260426_141428_207d,scrambled,qin,232.5,68
scrambled_text_opus_20260426_141428_207d,scrambled,han,531.6,40
scrambled_text_opus_20260426_141428_207d,scrambled,wei,220.9,75
scrambled_text_opus_20260426_141428_207d,scrambled,zhao,262.4,57
scrambled_text_opus_20260426_141428_207d,scrambled,qi,177.9,79
scrambled_text_opus_20260426_141428_207d,scrambled,chu,182.8,90
scrambled_text_opus_20260426_141428_207d,scrambled,yan,220.4,90
scrambled_text_opus_20260426_221514_422f,scrambled,qin,184.0,105
scrambled_text_opus_20260426_221514_422f,scrambled,han,624.3,16
scrambled_text_opus_20260426_221514_422f,scrambled,wei,226.9,77
scrambled_text_opus_20260426_221514_422f,scrambled,zhao,231.7,85
scrambled_text_opus_20260426_221514_422f,scrambled,qi,245.0,42
scrambled_text_opus_20260426_221514_422f,scrambled,chu,252.3,66
